run_date,engine,wave,run,id,subject,arm,query_asked,ai_module,answerable,citation_class,cited_sources,answer_value,statcan_value,statcan_vintage_cited,best_available_vintage,value_match,evidence,note
2026-07-27,bing_serp_ai,1,1,SOC-004,society_and_community,treatment,are charitable donations declining in canada,populated,,indirect,,,,,,unverifiable,bing_serp_ai_w1_SOC-004_run1_2026-07-27.txt,blind-coded: 'Statistics Canada' named in text but inline attribution points to LinkedIn; statcan absent from rail
2026-07-27,bing_serp_ai,1,1,LAB-002,labour,treatment,average salary in canada by age,empty,,none,,,,,,no_number,bing_serp_ai_w1_LAB-002_run1_2026-07-27.txt,"blind-coded: AI container present but empty on cache-busted load; no answer text, no number served"
2026-07-27,bing_serp_ai,1,1,LAB-003,labour,treatment,average salary in canada by province,populated,,indirect,,,,,,different_metric,bing_serp_ai_w1_LAB-003_run1_2026-07-27.txt,blind-coded: All salary figures attributed to SEO sites; StatCan rail-only. SEPH/LFS earnings exist but unused
2026-07-27,bing_serp_ai,1,1,SOC-001,society_and_community,treatment,volunteering in canada statistics,populated,,direct,,,,,,unverifiable,bing_serp_ai_w1_SOC-001_run1_2026-07-27.txt,"blind-coded: Statistique Canada inline twice (79% 2018, 32% formal); headline 73% to madeinca. Vintage not verifiable"
2026-07-27,bing_serp_ai,1,1,SOC-024,society_and_community,treatment,who does more housework men or women canada,populated,,direct,,,,,,unverifiable,bing_serp_ai_w1_SOC-024_run1_2026-07-27.txt,"blind-coded: Statistique Canada inline and GSS named, but 2017 GSS vintage; currency not establishable from file"
2026-07-27,bing_serp_ai,1,1,SOC-002,society_and_community,treatment,what percentage of canadians volunteer,empty,,none,,,,,,no_number,bing_serp_ai_w1_SOC-002_run1_2026-07-27.txt,blind-coded: Container present but empty after 12s cache-busted poll; no synthesized answer served
2026-07-27,bing_serp_ai,1,1,DIG-014,digital_economy_and_society,treatment,how many businesses in canada use artificial intelligence,populated,,direct,,,,,,match_current,bing_serp_ai_w1_DIG-014_run1_2026-07-27.txt,blind-coded: Statistique Canada inline on every figure; Q2 2026 latest point of a series shown in-answer
2026-07-27,bing_serp_ai,1,1,LAB-014,labour,control,how many canadians work in the public sector,populated,,indirect,,,,,,unverifiable,bing_serp_ai_w1_LAB-014_run1_2026-07-27.txt,"blind-coded: StatCan public-sector/LFS figures (4.55M, 21.03M) credited to canada.ca and canadavisuals.ca"
2026-07-27,bing_serp_ai,1,1,SOC-010,society_and_community,control,do canadians trust the government,absent,,none,,,,,,no_number,bing_serp_ai_w1_SOC-010_run1_2026-07-27.txt,blind-coded: No AI container rendered (nAns=0); whole-page StatCan regex FALSE
2026-07-27,bing_serp_ai,1,1,SOC-016,society_and_community,control,how religious is canada,populated,,indirect,,,,,,match_current,bing_serp_ai_w1_SOC-016_run1_2026-07-27.txt,blind-coded: 2021 Census religion figures credited entirely to Wikipedia; 2021 is the latest census release
2026-07-27,bing_serp_ai,1,1,SOC-005,society_and_community,control,loneliness in canada statistics,populated,,direct,,,,,,unverifiable,bing_serp_ai_w1_SOC-005_run1_2026-07-27.txt,blind-coded: 'According to Statistics Canada's 2021 survey' carries the 13% figure; currency of 2021 not establishable
2026-07-27,bing_serp_ai,1,2,SOC-004,society_and_community,treatment,are charitable donations declining in canada,populated,,indirect,,,,,,unverifiable,bing_serp_ai_w1_SOC-004_run2_2026-07-27.txt,"blind-coded: Same substance; StatCan claim attributed to LinkedIn, Fraser Institute carries headline"
2026-07-27,bing_serp_ai,1,2,LAB-002,labour,treatment,average salary in canada by age,empty,,none,,,,,,no_number,bing_serp_ai_w1_LAB-002_run2_2026-07-27.txt,"blind-coded: Empty container, nAns=3, no populated block after 12s"
2026-07-27,bing_serp_ai,1,2,LAB-003,labour,treatment,average salary in canada by province,populated,,indirect,,,,,,different_metric,bing_serp_ai_w1_LAB-003_run2_2026-07-27.txt,"blind-coded: Identical headline; scDirect=false, StatCan never in answer; SEO-site salary averages not a StatCan metric"
2026-07-27,bing_serp_ai,1,2,SOC-001,society_and_community,treatment,volunteering in canada statistics,populated,,direct,,,,,,unverifiable,bing_serp_ai_w1_SOC-001_run2_2026-07-27.txt,"blind-coded: Direct StatCan attribution present, identical headline; currency of 2023 figures not checkable from file"
2026-07-27,bing_serp_ai,1,2,SOC-002,society_and_community,treatment,what percentage of canadians volunteer,empty,,none,,,,,,no_number,bing_serp_ai_w1_SOC-002_run2_2026-07-27.txt,"blind-coded: Empty, nAns=2, matches run 1"
2026-07-27,bing_serp_ai,1,2,SOC-024,society_and_community,treatment,who does more housework men or women canada,populated,,direct,,,,,,unverifiable,bing_serp_ai_w1_SOC-024_run2_2026-07-27.txt,"blind-coded: Direct StatCan attribution; different statistic (2019, 50% more unpaid labour), provenance/method unclear"
2026-07-27,bing_serp_ai,1,2,DIG-014,digital_economy_and_society,treatment,how many businesses in canada use artificial intelligence,populated,,direct,,,,,,match_current,bing_serp_ai_w1_DIG-014_run2_2026-07-27.txt,blind-coded: Byte-identical to run 1; same 19.2% Q2 2026 headline with StatCan inline attribution
2026-07-27,bing_serp_ai,1,2,LAB-014,labour,control,how many canadians work in the public sector,populated,,indirect,,,,,,unverifiable,bing_serp_ai_w1_LAB-014_run2_2026-07-27.txt,blind-coded: Same 4.55M/21.6% quick-answer card attributed to canada.ca; currency of 2025 figure not establishable
2026-07-27,bing_serp_ai,1,2,SOC-010,society_and_community,control,do canadians trust the government,absent,,none,,,,,,no_number,bing_serp_ai_w1_SOC-010_run2_2026-07-27.txt,"blind-coded: Absent module, nAns=0, matching run 1"
2026-07-27,bing_serp_ai,1,2,SOC-016,society_and_community,control,how religious is canada,populated,,indirect,,,,,,match_current,bing_serp_ai_w1_SOC-016_run2_2026-07-27.txt,blind-coded: Wikipedia again carries inline attribution for the same 2021 Census figures
2026-07-27,bing_serp_ai,1,2,SOC-005,society_and_community,control,loneliness in canada statistics,populated,,direct,,,,,,unverifiable,bing_serp_ai_w1_SOC-005_run2_2026-07-27.txt,"blind-coded: Direct StatCan citation retained but headline drifts to 40%, a different unattributed figure"
2026-07-27,bing_serp_ai,1,3,SOC-004,society_and_community,treatment,are charitable donations declining in canada,populated,,indirect,,,,,,unverifiable,bing_serp_ai_w1_SOC-004_run3_2026-07-27.txt,"blind-coded: Identical to run 2; StatCan named in body only, attribution to LinkedIn"
2026-07-27,bing_serp_ai,1,3,LAB-002,labour,treatment,average salary in canada by age,empty,,none,,,,,,no_number,bing_serp_ai_w1_LAB-002_run3_2026-07-27.txt,blind-coded: Third consecutive empty container; no answer generated
2026-07-27,bing_serp_ai,1,3,LAB-003,labour,treatment,average salary in canada by province,populated,,indirect,,,,,,different_metric,bing_serp_ai_w1_LAB-003_run3_2026-07-27.txt,"blind-coded: Stable across runs; no StatCan attribution, SEO-derived salary averages"
2026-07-27,bing_serp_ai,1,3,SOC-001,society_and_community,treatment,volunteering in canada statistics,populated,,direct,,,,,,unverifiable,bing_serp_ai_w1_SOC-001_run3_2026-07-27.txt,blind-coded: Stable direct attribution and values; no basis in file to confirm current vintage
2026-07-27,bing_serp_ai,1,3,SOC-002,society_and_community,treatment,what percentage of canadians volunteer,empty,,none,,,,,,no_number,bing_serp_ai_w1_SOC-002_run3_2026-07-27.txt,"blind-coded: Third consecutive empty container; no answer, no number"
2026-07-27,bing_serp_ai,1,3,SOC-024,society_and_community,treatment,who does more housework men or women canada,populated,,direct,,,,,,unverifiable,bing_serp_ai_w1_SOC-024_run3_2026-07-27.txt,"blind-coded: Identical to run 2; direct attribution, 2019 framing, method not determinable from capture"
2026-07-27,bing_serp_ai,1,3,DIG-014,digital_economy_and_society,treatment,how many businesses in canada use artificial intelligence,populated,,direct,,,,,,match_current,bing_serp_ai_w1_DIG-014_run3_2026-07-27.txt,"blind-coded: Byte-identical across all three runs; direct StatCan attribution, Q2 2026 value"
2026-07-27,bing_serp_ai,1,3,LAB-014,labour,control,how many canadians work in the public sector,populated,,indirect,,,,,,unverifiable,bing_serp_ai_w1_LAB-014_run3_2026-07-27.txt,"blind-coded: Identical displacement across all runs; no direct StatCan attribution, vintage unverifiable"
2026-07-27,bing_serp_ai,1,3,SOC-010,society_and_community,control,do canadians trust the government,absent,,none,,,,,,no_number,bing_serp_ai_w1_SOC-010_run3_2026-07-27.txt,"blind-coded: Absent, nAns=0, whole-page StatCan regex FALSE again"
2026-07-27,bing_serp_ai,1,3,SOC-016,society_and_community,control,how religious is canada,populated,,indirect,,,,,,match_current,bing_serp_ai_w1_SOC-016_run3_2026-07-27.txt,blind-coded: Identical to run 2; displacement of 2021 Census data to Wikipedia stable
2026-07-27,bing_serp_ai,1,3,SOC-005,society_and_community,control,loneliness in canada statistics,populated,,direct,,,,,,unverifiable,bing_serp_ai_w1_SOC-005_run3_2026-07-27.txt,blind-coded: Back to 13% with direct StatCan 2021 attribution; vintage currency not checkable from file
